t,adams_bashforth,euler,heun,pred_corr,runge_kutta4,runge_kutta5
1.8939999999999015,7.760458942129844e-14,0.00023606855061064635,6.010288355895455e-08,6.927791673660977e-14,7.183142969324763e-14,6.94999613415348e-14
1.8949999999999014,7.760458942129844e-14,0.00023620788464817633,6.012739484084761e-08,6.927791673660977e-14,7.183142969324763e-14,6.94999613415348e-14
1.8959999999999013,7.771561172376096e-14,0.0002363470716959526,6.015186737595712e-08,6.938893903907228e-14,7.194245199571014e-14,6.961098364399732e-14
1.8969999999999012,7.782663402622347e-14,0.00023648611198656688,6.017630127530538e-08,6.94999613415348e-14,7.205347429817266e-14,6.972200594645983e-14
1.897999999999901,7.793765632868599e-14,0.00023662500575183376,6.020069653889237e-08,6.961098364399732e-14,7.216449660063518e-14,6.983302824892235e-14
1.898999999999901,7.793765632868599e-14,0.00023676375322323473,6.022505316671811e-08,6.961098364399732e-14,7.216449660063518e-14,6.983302824892235e-14
1.8999999999999009,7.793765632868599e-14,0.0002369023546318072,6.02493713808272e-08,6.961098364399732e-14,7.216449660063518e-14,6.983302824892235e-14
1.9009999999999008,7.80486786311485e-14,0.00023704081020825551,6.027365129224194e-08,6.972200594645983e-14,7.227551890309769e-14,6.994405055138486e-14
1.9019999999999007,7.80486786311485e-14,0.00023717912018239584,6.029789278994002e-08,6.972200594645983e-14,7.227551890309769e-14,6.994405055138486e-14
1.9029999999999005,7.815970093361102e-14,0.00023731728478393332,6.032209620698836e-08,6.983302824892235e-14,7.238654120556021e-14,7.005507285384738e-14
1.9039999999999004,7.815970093361102e-14,0.00023745530424179595,6.034626143236466e-08,6.983302824892235e-14,7.238654120556021e-14,7.005507285384738e-14
1.9049999999999003,7.827072323607354e-14,0.00023759317878480068,6.037038868811351e-08,6.994405055138486e-14,7.249756350802272e-14,7.016609515630989e-14
1.9059999999999002,7.838174553853605e-14,0.00023773090864087632,6.039447797423492e-08,7.005507285384738e-14,7.260858581048524e-14,7.027711745877241e-14
1.9069999999999,7.838174553853605e-14,0.00023786849403761856,6.041852929072888e-08,7.005507285384738e-14,7.260858581048524e-14,7.027711745877241e-14
1.9079999999999,7.849276784099857e-14,0.0002380059352024011,6.044254285964001e-08,7.016609515630989e-14,7.271960811294775e-14,7.038813976123492e-14
1.9089999999998999,7.849276784099857e-14,0.0002381432323615984,6.0466518569946e-08,7.016609515630989e-14,7.271960811294775e-14,7.038813976123492e-14
1.9099999999998998,7.860379014346108e-14,0.000238280385741807,6.049045675471376e-08,7.027711745877241e-14,7.283063041541027e-14,7.049916206369744e-14
1.9109999999998997,7.87148124459236e-14,0.00023841739556851316,6.051435741394329e-08,7.038813976123492e-14,7.294165271787278e-14,7.061018436615996e-14
1.9119999999998996,7.87148124459236e-14,0.00023855426206698116,6.053822043661228e-08,7.038813976123492e-14,7.294165271787278e-14,7.061018436615996e-14
1.9129999999998994,7.87148124459236e-14,0.00023869098546192014,6.056204604476534e-08,7.038813976123492e-14,7.294165271787278e-14,7.061018436615996e-14
1.9139999999998993,7.882583474838611e-14,0.0002388275659779282,6.058583446044707e-08,7.049916206369744e-14,7.30526750203353e-14,7.072120666862247e-14
1.9149999999998992,7.882583474838611e-14,0.00023896400383849326,6.060958546161288e-08,7.049916206369744e-14,7.30526750203353e-14,7.072120666862247e-14
1.9159999999998991,7.893685705084863e-14,0.00023910029926732523,6.063329938132966e-08,7.061018436615996e-14,7.316369732279782e-14,7.083222897108499e-14
1.916999999999899,7.893685705084863e-14,0.00023923645248713488,6.065697621959742e-08,7.061018436615996e-14,7.316369732279782e-14,7.083222897108499e-14
1.917999999999899,7.893685705084863e-14,0.0002393724637205219,6.068061597641616e-08,7.061018436615996e-14,7.316369732279782e-14,7.083222897108499e-14
1.9189999999998988,7.904787935331115e-14,0.00023950833318941989,6.070421887383048e-08,7.072120666862247e-14,7.327471962526033e-14,7.09432512735475e-14
1.9199999999998987,7.915890165577366e-14,0.00023964406111531833,6.072778491184039e-08,7.083222897108499e-14,7.338574192772285e-14,7.105427357601002e-14
1.9209999999998986,7.926992395823618e-14,0.00023977964771937366,6.075131409044587e-08,7.09432512735475e-14,7.349676423018536e-14,7.116529587847253e-14
1.9219999999998985,7.926992395823618e-14,0.00023991509322196514,6.077480652066924e-08,7.09432512735475e-14,7.349676423018536e-14,7.116529587847253e-14
1.9229999999998983,7.938094626069869e-14,0.00024005039784358306,6.07982624245551e-08,7.105427357601002e-14,7.360778653264788e-14,7.127631818093505e-14
1.9239999999998982,7.938094626069869e-14,0.00024018556180349648,6.082168158005885e-08,7.105427357601002e-14,7.360778653264788e-14,7.127631818093505e-14
1.9249999999998981,7.949196856316121e-14,0.0002403205853213075,6.084506443126969e-08,7.116529587847253e-14,7.37188088351104e-14,7.138734048339757e-14
1.925999999999898,7.949196856316121e-14,0.00024045546861561906,6.086841075614302e-08,7.116529587847253e-14,7.37188088351104e-14,7.138734048339757e-14
1.926999999999898,7.949196856316121e-14,0.00024059021190470098,6.089172077672345e-08,7.116529587847253e-14,7.37188088351104e-14,7.138734048339757e-14
1.9279999999998978,7.960299086562372e-14,0.00024072481540660107,6.091499460403327e-08,7.127631818093505e-14,7.382983113757291e-14,7.149836278586008e-14
1.9289999999998977,7.960299086562372e-14,0.00024085927933858997,6.093823212705018e-08,7.127631818093505e-14,7.382983113757291e-14,7.149836278586008e-14
1.9299999999998976,7.971401316808624e-14,0.00024099360391782731,6.09614336788411e-08,7.138734048339757e-14,7.394085344003543e-14,7.16093850883226e-14
1.9309999999998975,7.982503547054876e-14,0.00024112778936058454,6.098459914838372e-08,7.149836278586008e-14,7.405187574249794e-14,7.172040739078511e-14
1.9319999999998974,7.982503547054876e-14,0.00024126183588291106,6.100772853567804e-08,7.149836278586008e-14,7.405187574249794e-14,7.172040739078511e-14
1.9329999999998972,7.993605777301127e-14,0.00024139574370074524,6.103082217379097e-08,7.16093850883226e-14,7.416289804496046e-14,7.183142969324763e-14
1.9339999999998971,8.004708007547379e-14,0.00024152951302902625,6.10538799517002e-08,7.172040739078511e-14,7.427392034742297e-14,7.194245199571014e-14
1.934999999999897,8.004708007547379e-14,0.00024166314408247125,6.107690198042803e-08,7.172040739078511e-14,7.427392034742297e-14,7.194245199571014e-14
1.935999999999897,8.004708007547379e-14,0.00024179663707546428,6.109988837099678e-08,7.172040739078511e-14,7.427392034742297e-14,7.194245199571014e-14
1.9369999999998968,8.01581023779363e-14,0.0002419299922218343,6.112283923442874e-08,7.183142969324763e-14,7.438494264988549e-14,7.205347429817266e-14
1.9379999999998967,8.01581023779363e-14,0.00024206320973485518,6.114575445970161e-08,7.183142969324763e-14,7.438494264988549e-14,7.205347429817266e-14
1.9389999999998966,8.01581023779363e-14,0.0002421962898276897,6.116863426885999e-08,7.183142969324763e-14,7.438494264988549e-14,7.205347429817266e-14
